(1) GlymaID from Gmax version 2.0. Only primary predicted proteins were included in analyses. For more information on Gmax2.0 cDNAs see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(2) Top Uniref100 BLASTP Hit. Match determined via BLASTP of Gmax2.0 primary proteins against Uniref100 (version 03/27/2014). E-value for the top high scoring pair(HSP) is indicated. Top Uniref100 percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(3) Top Descriptive Uniref100 BLASTP Hit. The BLAST report generated above (2) was parsed to eliminate uninformative hits.  Hits including the words uncharacterized, putative, related, predicted, orf, expressed or containing Arabidopsis or Rice gene identifiers (AtXgXXXXX, OsXXgXXXXX) were ignored. E-value for the top high scoring pair(HSP) is indicated. Top Uniref100 percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(4) Top Arabidopsis (TAIR10) BLASTP Hit (4). Match determined via BLASTP of Gmax2.0 primary proteins against Arabidopsis thaliana proteins (TAIR10). For additional details see www.arabidopsis.org. E-value for the top high scoring pair(HSP) is indicated. Percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(5) Gene Ontology Biological Process IDs. GO Biological Process IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v 10 (03/27/14). Descriptions for the GO terms are also provided.
(6) Gene Ontology Molecular Function IDs. GO Molecular Function IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v. 10 (03/27/14). Descriptions for the GO terms are also provided.
(7) Gene Ontology Cellular Component IDs. GO Cellular Component IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v 10 (03/27/14). Descriptions for the GO terms are also provided.
(8) PFAM IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(9) PANTHER IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(10) KOG IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.

Gmax 2.0 Primary Protein ID (1)	Protein Length (AA)	Top Uniref100 BLASTP Hit (2)	E-value (E<10-6)	% Coverage	Top Descriptive Uniref100 BLASTP Hit (3)	E-value (E<10-6)	% Coverage	Top Arabidopsis (TAIR10) BLASTP Hit (4)	E-value (E<10-6)	Coverage	Gene Ontology Biological Process IDs (5)	Gene Ontology Biological Process Descriptions	Gene Ontology Molecular Function IDs (6)	Gene Ontology Molecular Function Descriptions	Gene Ontology Cellular Component IDs (7)	Gene Ontology Cellular Component Descriptions	PFAM IDs (8)	PFAM_Descriptions	Panther IDs (9)	Panther_Descriptions	KOG IDs (10)	KOG_Desctiptions
Glyma.01G015200	478	UniRef100_K7K192 Uncharacterized protein n=2 Tax=Glycine max RepID=K7K192_SOYBN	0	77.55	UniRef100_A2Q3R6 Poly(ADP-ribose) polymerase, catalytic region n=1 Tax=Medicago truncatula RepID=A2Q3R6_MEDTR	9.00E-99	67.82	AT1G32230.3|Symbols:AtRCD1|WWE protein-protein interaction domain protein family|chr1:11613427-11615748 FORWARD LENGTH=570	5.00E-64	67.72	GO:0000165 GO:0000303 GO:0006096 GO:0006486 GO:0006612 GO:0006623 GO:0006809 GO:0006833 GO:0006944 GO:0006970 GO:0006972 GO:0006979 GO:0007030 GO:0007154 GO:0008219 GO:0009266 GO:0009409 GO:0009414 GO:0009651 GO:0009723 GO:0009733 GO:0009737 GO:0009738 GO:0009743 GO:0009751 GO:0009790 GO:0009816 GO:0009862 GO:0009863 GO:0009867 GO:0009873 GO:0010102 GO:0010193 GO:0010363 GO:0012501 GO:0016192 GO:0030968 GO:0031348 GO:0043069 GO:0046686 GO:0048193 GO:0050832 GO:2000377	Golgi organization; Golgi vesicle transport; MAPK cascade; abscisic acid mediated signaling pathway; cell communication; cell death; cellular membrane fusion; defense response to bacterium, incompatible interaction; defense response to fungus; embryo development; endoplasmic reticulum unfolded protein response; ethylene mediated signaling pathway; glycolysis; hyperosmotic response; jasmonic acid mediated signaling pathway; lateral root morphogenesis; negative regulation of defense response; negative regulation of programmed cell death; nitric oxide biosynthetic process; programmed cell death; protein glycosylation; protein targeting to membrane; protein targeting to vacuole; regulation of plant-type hypersensitive response; regulation of reactive oxygen species metabolic process; response to abscisic acid stimulus; response to auxin stimulus; response to cadmium ion; response to carbohydrate stimulus; response to cold; response to ethylene stimulus; response to osmotic stress; response to oxidative stress; response to ozone; response to salicylic acid stimulus; response to salt stress; response to superoxide; response to temperature stimulus; response to water deprivation; salicylic acid mediated signaling pathway; systemic acquired resistance, salicylic acid mediated signaling pathway; vesicle-mediated transport; water transport	GO:0003950 GO:0005515	NAD+ ADP-ribosyltransferase activity; protein binding	GO:0005634 GO:0005737	cytoplasm; nucleus	NA	NA	NA	NA	NA	NA	
Glyma.01G015300	193	UniRef100_I1J4S6 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4S6_SOYBN	3.00E-136	100	NA	NA	NA	AT1G32260.1|Symbols:|unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G35480.1); Has 48 Blast hits to 48 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 48; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).|chr1:11640760-11641784 REVERSE LENGTH=202	2.00E-64	93.56	GO:0008150	biological process	GO:0003674	molecular function	GO:0005739	mitochondrion	NA	NA	NA	NA	NA	NA	
Glyma.01G015400	129	UniRef100_I1J4S8 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4S8_SOYBN	4.00E-84	100	UniRef100_A3AX00 OSJNBa0009P12.33 protein n=4 Tax=Oryza RepID=A3AX00_ORYSJ	7.00E-08	102.7	AT2G35470.1|Symbols:|unknown protein; Has 25 Blast hits to 25 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 25; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).|chr2:14909014-14909720 REVERSE LENGTH=167	9.00E-19	61.68	GO:0008150	biological process	GO:0003674	molecular function	GO:0005739	mitochondrion	NA	NA	NA	NA	NA	NA	
Glyma.01G015500	280	UniRef100_I1J4S9 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4S9_SOYBN	0	100	UniRef100_V5N8K0 RNA-binding region RNP-1 n=1 Tax=Phaseolus vulgaris RepID=V5N8K0_PHAVU	4.00E-164	100.72	AT4G17720.1|Symbols:|RNA-binding (RRM/RBD/RNP motifs) family protein|chr4:9862660-9864498 REVERSE LENGTH=313	1.00E-129	84.98	GO:0009627 GO:0034976	response to endoplasmic reticulum stress; systemic acquired resistance	GO:0000166 GO:0003676	nucleic acid binding; nucleotide binding	GO:0005634 GO:0005829	cytosol; nucleus	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	PTHR11732	ALDO/KETO REDUCTASE	NA	NA	
Glyma.01G015600	274	UniRef100_I1J4T0 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4T0_SOYBN	0	100	UniRef100_Q8LJR4 Syntaxin n=1 Tax=Glycine max RepID=Q8LJR4_SOYBN	6.00E-166	95.6	AT5G46860.1|Symbols:VAM3, ATVAM3, SYP22, ATSYP22, SGR3|Syntaxin/t-SNARE family protein|chr5:19012342-19013795 REVERSE LENGTH=268	4.00E-144	97.39	GO:0000902 GO:0006623 GO:0006886 GO:0006944 GO:0007030 GO:0007033 GO:0009556 GO:0009660 GO:0009959 GO:0010118 GO:0016049 GO:0016192 GO:0016197 GO:0048193 GO:0052543	Golgi organization; Golgi vesicle transport; amyloplast organization; callose deposition in cell wall; cell growth; cell morphogenesis; cellular membrane fusion; endosomal transport; intracellular protein transport; microsporogenesis; negative gravitropism; protein targeting to vacuole; stomatal movement; vacuole organization; vesicle-mediated transport	GO:0005484 GO:0005515	SNAP receptor activity; protein binding	GO:0000325 GO:0005770 GO:0005773 GO:0005794 GO:0009705 GO:0030140	Golgi apparatus; late endosome; plant-type vacuole; plant-type vacuole membrane; trans-Golgi network transport vesicle; vacuole	PF00804 PF05739	Syntaxin; SNARE domain	PTHR19957	SYNTAXIN	KOG0811	SNARE_protein_PEP12/VAM3/Syntaxin_7/Syntaxin_17  	
Glyma.01G015700	115	UniRef100_I1J4T2 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4T2_SOYBN	8.00E-60	85.59	UniRef100_Q9LQM9 F5D14.6 protein n=1 Tax=Arabidopsis thaliana RepID=Q9LQM9_ARATH	1.00E-20	9.27	AT1G32310.1|Symbols:|unknown protein; Has 28 Blast hits to 28 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 28; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).|chr1:11653619-11654538 FORWARD LENGTH=100	2.00E-30	94	GO:0007276 GO:0009555 GO:0009556 GO:0032875 GO:0045732 GO:0046621 GO:0051302 GO:0051510	gamete generation; microsporogenesis; negative regulation of organ growth; pollen development; positive regulation of protein catabolic process; regulation of DNA endoreduplication; regulation of cell division; regulation of unidimensional cell growth	GO:0005515 GO:0010997	anaphase-promoting complex binding; protein binding	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G015800	338	UniRef100_I1J4T3 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4T3_SOYBN	0	100	UniRef100_H9D2I3 MAP kinase kinase 10 n=1 Tax=Lotus japonicus RepID=H9D2I3_LOTJA	3.00E-178	99.7	AT1G32320.1|Symbols:ATMKK10, MKK10|MAP kinase kinase 10|chr1:11655156-11656073 FORWARD LENGTH=305	7.00E-107	103.61	GO:0006468	protein phosphorylation	GO:0004672 GO:0004674 GO:0004708 GO:0005524 GO:0016301 GO:0016772	ATP binding; MAP kinase kinase activity; kinase activity; protein kinase activity; protein serine/threonine kinase activity; transferase activity, transferring phosphorus-containing groups	NA	NA	PF00069	Protein kinase domain	PTHR24361	MITOGEN-ACTIVATED KINASE KINASE KINASE	KOG0581	Mitogen-activated_protein_kinase_kinase_(MAP2K)  	
Glyma.01G015900	491	UniRef100_I1J4T4 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4T4_SOYBN	0	100	UniRef100_G7KDN6 Heat stress transcription factor A-1d n=1 Tax=Medicago truncatula RepID=G7KDN6_MEDTR	0	95.82	AT1G32330.1|Symbols:ATHSFA1D, HSFA1D|heat shock transcription factor A1D|chr1:11657265-11660234 REVERSE LENGTH=485	2.00E-168	99.59	GO:0006355 GO:0009407 GO:0009408	regulation of transcription, DNA-dependent; response to heat; toxin catabolic process	GO:0003677 GO:0003700 GO:0005515 GO:0043565	DNA binding; protein binding; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity	GO:0005634	nucleus	PF00447	HSF-type DNA-binding	PTHR10015	HEAT SHOCK TRANSCRIPTION FACTOR	KOG0627	Heat_shock_transcription_factor  	
Glyma.01G016000	74	UniRef100_K7K196 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K196_SOYBN	1.00E-44	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G016100	735	UniRef100_K7K197 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K197_SOYBN	0	100	UniRef100_G7KDN7 Pentatricopeptide repeat-containing protein n=1 Tax=Medicago truncatula RepID=G7KDN7_MEDTR	0	78.81	AT1G05670.2|Symbols:|Pentatricopeptide repeat (PPR-like) superfamily protein|chr1:1698574-1700799 REVERSE LENGTH=741	2.00E-82	79.89	NA	NA	GO:0016757	transferase activity, transferring glycosyl groups	GO:0005739	mitochondrion	PF01535	PPR repeat	PTHR24015	FAMILY NOT NAMED	NA	NA	
Glyma.01G016200	140	UniRef100_K7LF33 Uncharacterized protein n=1 Tax=Glycine max RepID=K7LF33_SOYBN	7.00E-52	16.5	UniRef100_G7KDN8 E3 ubiquitin-protein ligase RNF14 n=1 Tax=Medicago truncatula RepID=G7KDN8_MEDTR	3.00E-45	14.76	AT1G32340.1|Symbols:NHL8|NDR1/HIN1-like 8|chr1:11663462-11666037 REVERSE LENGTH=688	3.00E-36	14.24	GO:0006487 GO:0006499 GO:0008150 GO:0009610	N-terminal protein myristoylation; biological process; protein N-linked glycosylation; response to symbiotic fungus	GO:0008270	zinc ion binding	GO:0005634	nucleus	PF01485	IBR domain	PTHR11685	RBR FAMILY (RING FINGER AND IBR DOMAIN-CONTAINING)	NA	NA	
Glyma.01G016300	97	UniRef100_K7K198 Uncharacterized protein (Fragment) n=1 Tax=Glycine max RepID=K7K198_SOYBN	6.00E-63	65.31	UniRef100_G7KDN8 E3 ubiquitin-protein ligase RNF14 n=1 Tax=Medicago truncatula RepID=G7KDN8_MEDTR	3.00E-40	14.13	AT1G32340.1|Symbols:NHL8|NDR1/HIN1-like 8|chr1:11663462-11666037 REVERSE LENGTH=688	7.00E-19	12.94	GO:0006487 GO:0006499 GO:0008150 GO:0009610	N-terminal protein myristoylation; biological process; protein N-linked glycosylation; response to symbiotic fungus	GO:0008270	zinc ion binding	GO:0005634	nucleus	PF05773	RWD domain	PTHR11685	RBR FAMILY (RING FINGER AND IBR DOMAIN-CONTAINING)	NA	NA	
Glyma.01G016400	234	UniRef100_I1J4T6 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4T6_SOYBN	8.00E-169	100	UniRef100_G5DXJ6 Beta-1,4-N-acetylglucosaminyltransferase (Fragment) n=1 Tax=Silene latifolia RepID=G5DXJ6_SILLA	3.00E-93	90.91	AT4G18230.1|Symbols:|FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Oligosaccharide biosynthesis protein Alg14 like (InterPro:IPR013969); Has 640 Blast hits to 640 proteins in 277 species: Archae - 4; Bacteria - 281; Metazoa - 94; Fungi - 127; Plants - 57; Viruses - 0; Other Eukaryotes - 77 (source: NCBI BLink).|chr4:10080521-10081710 REVERSE LENGTH=233	3.00E-101	100	GO:0008150	biological process	GO:0003674	molecular function	GO:0005739	mitochondrion	PF08660	Oligosaccharide biosynthesis protein Alg14 like	PTHR12154	GLYCOSYL TRANSFERASE-RELATED	KOG3339	Predicted_glycosyltransferase  	
Glyma.01G016500	1247	UniRef100_I1J4T8 Uncharacterized protein n=5 Tax=Glycine RepID=I1J4T8_SOYBN	0	100	UniRef100_G7KDP1 ABC transporter B family member n=1 Tax=Medicago truncatula RepID=G7KDP1_MEDTR	0	99.76	AT4G25960.1|Symbols:PGP2|P-glycoprotein 2|chr4:13177438-13183425 FORWARD LENGTH=1273	0	97.17	GO:0006200 GO:0006810 GO:0010048 GO:0010315 GO:0010540 GO:0010541 GO:0043481 GO:0048440 GO:0055085	ATP catabolic process; acropetal auxin transport; anthocyanin accumulation in tissues in response to UV light; auxin efflux; basipetal auxin transport; carpel development; transmembrane transport; transport; vernalization response	GO:0000166 GO:0005524 GO:0016887 GO:0017111 GO:0042626	ATP binding; ATPase activity; ATPase activity, coupled to transmembrane movement of substances; nucleoside-triphosphatase activity; nucleotide binding	GO:0005886 GO:0009507 GO:0016020 GO:0016021	chloroplast; integral to membrane; membrane; plasma membrane	PF00664 PF00005	ABC transporter transmembrane region; ABC transporter	PTHR24221	FAMILY NOT NAMED	KOG0055	Multidrug/pheromone_exporter,_ABC_superfamily  	
Glyma.01G016600	351	UniRef100_K7K1A1 Uncharacterized protein n=2 Tax=Glycine max RepID=K7K1A1_SOYBN	0	100	UniRef100_G7KDP9 Myb-like transcription factor n=1 Tax=Medicago truncatula RepID=G7KDP9_MEDTR	7.00E-156	101.5	AT5G16770.2|Symbols:AtMYB9, MYB9|myb domain protein 9|chr5:5515209-5516734 FORWARD LENGTH=336	3.00E-88	103.57	GO:0006355 GO:0009737	regulation of transcription, DNA-dependent; response to abscisic acid stimulus	GO:0003677 GO:0003700	DNA binding; sequence-specific DNA binding transcription factor activity	GO:0005634	nucleus	PF00249	Myb-like DNA-binding domain	PTHR10641	MYB-LIKE DNA-BINDING PROTEIN MYB	KOG0048	Transcription_factor,_Myb_superfamily  	
Glyma.01G016700	358	UniRef100_K7K1A2 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K1A2_SOYBN	0	100	UniRef100_G7LH14 Inositol-tetrakisphosphate 1-kinase n=1 Tax=Medicago truncatula RepID=G7LH14_MEDTR	2.00E-155	92.73	AT5G16760.1|Symbols:|Inositol 1,3,4-trisphosphate 5/6-kinase family protein|chr5:5509890-5510849 FORWARD LENGTH=319	1.00E-113	94.36	GO:0010264 GO:0052746	inositol phosphorylation; myo-inositol hexakisphosphate biosynthetic process	GO:0000287 GO:0003824 GO:0005524 GO:0046872 GO:0047325 GO:0052725 GO:0052726	ATP binding; catalytic activity; inositol-1,3,4-trisphosphate 5-kinase activity; inositol-1,3,4-trisphosphate 6-kinase activity; inositol tetrakisphosphate 1-kinase activity; magnesium ion binding; metal ion binding	GO:0005622 GO:0005829	cytosol; intracellular	PF05770	Inositol 1, 3, 4-trisphosphate 5/6-kinase	PTHR14217	FAMILY NOT NAMED	NA	NA	
Glyma.01G016800	289	UniRef100_I1J4U1 Uncharacterized protein n=2 Tax=Glycine max RepID=I1J4U1_SOYBN	0	100	UniRef100_V5N8P5 SNARE associated Golgi protein n=1 Tax=Phaseolus vulgaris RepID=V5N8P5_PHAVU	2.00E-171	100.39	AT4G17790.1|Symbols:|SNARE associated Golgi protein family|chr4:9891425-9892675 FORWARD LENGTH=264	2.00E-136	91.29	GO:0006661 GO:0008150	biological process; phosphatidylinositol biosynthetic process	NA	NA	NA	NA	PF09335	SNARE associated Golgi protein	PTHR12677	UNCHARACTERIZED	KOG3140	Predicted_membrane_protein  	
Glyma.01G016900	516	UniRef100_I1J4U2 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4U2_SOYBN	0	100	UniRef100_G7KDQ5 RNA-binding protein n=1 Tax=Medicago truncatula RepID=G7KDQ5_MEDTR	8.00E-166	70.85	AT5G46840.1|Symbols:|RNA-binding (RRM/RBD/RNP motifs) family protein|chr5:19005651-19007609 FORWARD LENGTH=501	4.00E-139	102.4	GO:0006312 GO:0009560	embryo sac egg cell differentiation; mitotic recombination	GO:0000166 GO:0003676 GO:0003723	RNA binding; nucleic acid binding; nucleotide binding	GO:0005737	cytoplasm	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	PTHR24011	FAMILY NOT NAMED	KOG0131	Splicing_factor_3b,_subunit_4  	
Glyma.01G017000	292	UniRef100_K7K1A3 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K1A3_SOYBN	0	100	UniRef100_G7KDQ6 TPR domain protein n=1 Tax=Medicago truncatula RepID=G7KDQ6_MEDTR	1.00E-69	90.51	AT4G17940.1|Symbols:|Tetratricopeptide repeat (TPR)-like superfamily protein|chr4:9965787-9966778 FORWARD LENGTH=274	8.00E-52	83.58	GO:0008150	biological process	NA	NA	GO:0009507	chloroplast	NA	NA	PTHR26312	FAMILY NOT NAMED	NA	NA	
Glyma.01G017100	300	UniRef100_I1J4U4 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4U4_SOYBN	0	100	UniRef100_G7KDR3 Dihydroflavonol-4-reductase n=2 Tax=Medicago truncatula RepID=G7KDR3_MEDTR	0	100.34	AT2G23910.1|Symbols:|NAD(P)-binding Rossmann-fold superfamily protein|chr2:10177902-10179789 FORWARD LENGTH=304	2.00E-87	95.07	GO:0009744 GO:0009809 GO:0009813 GO:0010224 GO:0044237 GO:0080167	cellular metabolic process; flavonoid biosynthetic process; lignin biosynthetic process; response to UV-B; response to karrikin; response to sucrose stimulus	GO:0000166 GO:0003824 GO:0016621 GO:0050662	catalytic activity; cinnamoyl-CoA reductase activity; coenzyme binding; nucleotide binding	GO:0005575	cellular component	PF01370	NAD dependent epimerase/dehydratase family	PTHR10366	NAD DEPENDENT EPIMERASE/DEHYDRATASE	KOG1502	Flavonol_reductase/cinnamoyl-CoA_reductase  	
Glyma.01G017200	289	UniRef100_I1J4U5 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4U5_SOYBN	0	100	UniRef100_G7KFV0 RING finger-like protein n=1 Tax=Medicago truncatula RepID=G7KFV0_MEDTR	4.00E-80	86.27	AT4G17920.1|Symbols:|RING/U-box superfamily protein|chr4:9963221-9964090 REVERSE LENGTH=289	8.00E-60	93.08	NA	NA	GO:0008270	zinc ion binding	GO:0005634	nucleus	PF00097	Zinc finger, C3HC4 type (RING finger)	PTHR22765	RING FINGER AND PROTEASE ASSOCIATED DOMAIN-CONTAINING	NA	NA	
Glyma.01G017300	365	UniRef100_I1J4U6 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4U6_SOYBN	0	100	UniRef100_G7KDR5 RING-H2 finger protein ATL3A n=1 Tax=Medicago truncatula RepID=G7KDR5_MEDTR	4.00E-167	75.26	AT3G03550.1|Symbols:|RING/U-box superfamily protein|chr3:850391-851461 REVERSE LENGTH=356	4.00E-68	88.48	GO:0080167	response to karrikin	GO:0008270	zinc ion binding	GO:0005634	nucleus	PF00097	Zinc finger, C3HC4 type (RING finger)	PTHR14155	RING FINGER DOMAIN-CONTAINING	NA	NA	
Glyma.01G017400	290	UniRef100_I1J4U7 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4U7_SOYBN	0	100	UniRef100_B9MU33 33 kDa ribonucleoprotein n=1 Tax=Populus trichocarpa RepID=B9MU33_POPTR	1.00E-87	88.44	AT2G35410.1|Symbols:|RNA-binding (RRM/RBD/RNP motifs) family protein|chr2:14898341-14899590 FORWARD LENGTH=308	3.00E-84	84.42	GO:0006364 GO:0009902 GO:0010027 GO:0015979 GO:0015995 GO:0019288 GO:0034660 GO:0042793	chlorophyll biosynthetic process; chloroplast relocation; isopentenyl diphosphate biosynthetic process, mevalonate-independent pathway; ncRNA metabolic process; photosynthesis; rRNA processing; thylakoid membrane organization; transcription from plastid promoter	GO:0000166 GO:0003676 GO:0003723	RNA binding; nucleic acid binding; nucleotide binding	GO:0009507 GO:0009570 GO:0009579	chloroplast; chloroplast stroma; thylakoid	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	PTHR24012	FAMILY NOT NAMED	KOG0131	Splicing_factor_3b,_subunit_4  	
Glyma.01G017500	192	UniRef100_K7K1A6 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K1A6_SOYBN	4.00E-136	100	UniRef100_B9GZ87 Senescence-associated family protein n=1 Tax=Populus trichocarpa RepID=B9GZ87_POPTR	1.00E-74	61.71	AT5G46700.1|Symbols:TET1, TRN2|Tetraspanin family protein|chr5:18951035-18952439 FORWARD LENGTH=269	4.00E-75	61.71	GO:0007389 GO:0007568 GO:0008361 GO:0009855 GO:0009926 GO:0009933 GO:0009944 GO:0009956 GO:0010014 GO:0010015 GO:0010051 GO:0010073 GO:0010075 GO:0010305 GO:0019344 GO:0040007	aging; auxin polar transport; cysteine biosynthetic process; determination of bilateral symmetry; growth; leaf vascular tissue pattern formation; meristem initiation; meristem maintenance; meristem structural organization; pattern specification process; polarity specification of adaxial/abaxial axis; radial pattern formation; regulation of cell size; regulation of meristem growth; root morphogenesis; xylem and phloem pattern formation	GO:0003674	molecular function	GO:0005886 GO:0009506 GO:0016021	integral to membrane; plasma membrane; plasmodesma	PF00335	Tetraspanin family	PTHR19282	TETRASPANIN	NA	NA	
Glyma.01G017600	105	UniRef100_UPI0001D62D6B PREDICTED: protein TORNADO 2 n=1 Tax=Glycine max RepID=UPI0001D62D6B	1.00E-68	38.29	UniRef100_B9MU32 Senescence-associated family protein n=1 Tax=Populus trichocarpa RepID=B9MU32_POPTR	2.00E-60	38.29	AT2G19580.1|Symbols:TET2|tetraspanin2|chr2:8472393-8475021 REVERSE LENGTH=270	8.00E-54	37.78	GO:0007568	aging	GO:0003674	molecular function	GO:0009507 GO:0016021	chloroplast; integral to membrane	PF00335	Tetraspanin family	PTHR19282	TETRASPANIN	NA	NA	
Glyma.01G017700	237	UniRef100_I1J4V0 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4V0_SOYBN	5.00E-176	100	UniRef100_B9MU31 Zinc-binding family protein n=1 Tax=Populus trichocarpa RepID=B9MU31_POPTR	3.00E-128	96.97	AT4G17900.1|Symbols:|PLATZ transcription factor family protein|chr4:9946046-9947697 FORWARD LENGTH=227	1.00E-123	100.88	GO:0008150	biological process	NA	NA	GO:0005739	mitochondrion	PF04640	PLATZ transcription factor	NA	NA	NA	NA	
Glyma.01G017800	232	UniRef100_I1J4V1 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4V1_SOYBN	3.00E-164	100	UniRef100_Q5VSW6 OSJNBa0009P12.10 protein n=5 Tax=Oryza RepID=Q5VSW6_ORYSJ	1.00E-11	89.13	AT1G32690.1|Symbols:|unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 11 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G35200.1); Has 45 Blast hits to 45 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 45; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).|chr1:11821079-11821681 REVERSE LENGTH=200	3.00E-29	112	GO:0008150	biological process	GO:0003674	molecular function	GO:0005634 GO:0005886	nucleus; plasma membrane	NA	NA	NA	NA	NA	NA	
Glyma.01G017900	168	UniRef100_I1J4V3 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4V3_SOYBN	1.00E-114	100	UniRef100_Q9FIQ3 AIG2-like (Avirulence induced gene) family protein n=1 Tax=Arabidopsis thaliana RepID=Q9FIQ3_ARATH	1.00E-38	84.57	AT5G46720.1|Symbols:|AIG2-like (avirulence induced gene) family protein|chr5:18959183-18959710 FORWARD LENGTH=175	1.00E-41	84.57	GO:0008150	biological process	GO:0003674	molecular function	GO:0005575	cellular component	PF06094	AIG2-like family	PTHR12510	TROPONIN C-AKIN-1 PROTEIN	KOG4450	Uncharacterized_conserved_protein  	
Glyma.01G018000	135	UniRef100_K7K1A8 Uncharacterized protein n=2 Tax=Glycine max RepID=K7K1A8_SOYBN	7.00E-90	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G018100	216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G018200	85	UniRef100_K7K1B1 Uncharacterized protein (Fragment) n=1 Tax=Glycine max RepID=K7K1B1_SOYBN	3.00E-53	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
